County,American Indian,Asian/Pacific Islander,Black,Hispanic/Latino,Other,Unknown,White,ChartId
DEKALB,0.718805858146148,3.54243786011947,49.6601392794918,3.20214286830983,12.2302958082396,0.430797131030074,30.2153811946629,
DODGE,0.357439733998337,0.374064837905236,25.3532834580216,0.947630922693266,4.95428096425602,0.299251870324189,67.7140482128013,
DOOLY,0.392464678178963,0.423861852433281,44.2700156985871,2.04081632653061,6.73469387755102,0.313971742543171,45.8241758241758,
DOUGHERTY,0.3591087039708,0.528360757071792,67.3608453772113,1.03758867335825,7.37644600123627,0.40178965649192,22.9358608306596,
DOUGLAS,0.914562297191958,1.15385312618965,47.2472490618711,4.62538295596686,12.8809165563874,0.598227072494244,32.5798089298986,
EARLY,0.156148340923877,0.364346128822381,47.7423552374756,0.416395575797007,4.24202992843201,0.351333767078724,46.7273910214703,
ECHOLS,0.72137060414788,0.0901713255184851,4.68890892696122,9.73850315599639,5.32010820559062,0.0901713255184851,79.3507664562669,
EFFINGHAM,0.657573806318172,0.862455852797127,12.9056176705886,2.9698140451521,10.3006887939276,0.71220901871256,71.5916408125036,
ELBERT,0.2856515051637,0.7544129495349,24.4122170951439,1.5015015015015,6.4527942576723,0.3442466857101,66.2491760052735,
EMANUEL,0.236870600974553,0.33838657282079,28.8237682728749,1.12344342176502,8.32430969139144,0.250406063887384,60.9028153762858,
EVANS,0.538599640933572,0.688210652304009,28.6355475763016,4.11430281268701,0.194494314781567,0.0149611011370436,65.8138839018551,
FANNIN,0.405752671205085,0.383210856138136,0.238943239709661,1.01438167801271,6.50105946530814,0.374194130111356,91.0824579595149,
FAYETTE,0.683318339415136,2.86872403440851,23.7887778103488,3.67637396516693,13.1326506888778,0.66916677617281,55.1809883856098,
FLOYD,0.54490106544901,1.04261796042617,12.4550989345509,3.71689497716894,8.16894977168949,0.401826484018264,73.6697108066971,
FORSYTH,0.517805181428804,9.21130391224327,3.62970175547213,4.3450608702504,18.1715848778373,1.9085623589403,62.2159810438277,
FRANKLIN,0.530597806862398,0.878434146916637,6.47918877490861,1.53283810871359,7.82336988562669,0.571866525173918,82.1837047517981,
FULTON,0.741984169612291,3.97128581587516,41.703083364172,3.18394270156018,13.4174310596243,0.52922635737512,36.4530465317808,
GILMER,0.365586156470874,0.479324071817369,0.37777236168657,3.31870988707449,7.01925420424079,0.361524088065643,88.0778292306442,
GLASCOCK,0.190114068441064,0.23764258555133,5.27566539923954,0.190114068441064,4.80038022813688,0.285171102661596,89.0209125475285,
GLYNN,0.604659434465587,1.12929041436955,20.5524927381587,2.60685280692394,9.28626474598375,0.613551484972434,65.2068883751259,
GORDON,0.501763624621193,0.958815639127626,3.95200953847682,6.70674151721396,8.39087883153658,0.409856426051964,79.0799344229718,
GRADY,0.442124654590113,0.350015351550506,27.4424316856002,2.79398219220141,6.72397912189131,0.472827755603315,61.774639238563,
GREENE,0.275735294117647,0.643382352941176,24.313725490196,1.74632352941176,7.46936274509803,0.416666666666666,65.1348039215686,
GWINNETT,0.837474691698877,10.5572903774507,28.3535482396846,10.3521265319852,13.7853284842945,0.920301859009755,35.1939298158761,
HABERSHAM,0.510976532929598,1.47930860459248,2.21107746656573,5.2264698460762,7.94852384557153,0.725460509714862,81.8981831945495,
HALL,0.611516437916749,1.76834719937756,7.01059916325987,11.9027306665938,11.6188123204182,0.769855515591621,66.318138696842,
HANCOCK,0.211313394018205,0.162548764629388,63.5890767230169,0.292587776332899,6.5669700910273,0.585175552665799,28.5923276983094,
HARALSON,0.495839261846246,0.663993446298452,3.89341611693183,0.819212693485103,6.81671193894709,0.487215970335877,86.8236105721554,
HARRIS,0.556246545052515,0.93629076838032,14.6282476506357,2.28026533996683,8.0085682697623,0.421503593145384,73.1688778330569,
HART,0.3368224686496,0.948284796351953,13.8978132448958,1.1348326251425,7.11990879883925,0.487097108508653,76.0752409576122,
HEARD,0.486392588303416,0.416907932831499,8.19918934568616,0.89171974522293,6.69368847712796,0.428488708743485,82.8836132020845,
HENRY,0.761075807986039,2.2148987947881,48.2189880004415,3.68028508806509,12.7969010338647,0.884067340492071,31.4437839343624,
HOUSTON,0.808317960758007,2.42663089049136,31.1630051987254,2.98088210632232,9.13466375985242,0.668287774610095,52.8182123092403,
IRWIN,0.299118387909319,0.377833753148614,22.3709068010075,1.29093198992443,4.81738035264483,0.409319899244332,70.4345088161209,
JACKSON,0.533579850467896,1.98835530903842,6.79381760975688,4.63192721257237,9.41792763424642,0.986068538250701,75.6483238456672,
JASPER,0.316376654733161,0.291399550412122,16.1352093913912,1.61518607942719,2.66422446091083,0.316376654733161,78.6612272083923,
JEFF DAVIS,0.342655023764783,0.431082126671824,14.3694042223941,3.65867138277882,5.63722781032386,0.397921963081684,75.1630374709848,
JEFFERSON,0.255427841634738,0.272456364410387,49.3571732652192,0.578969774372073,7.80757769263516,0.366113239676458,41.3622818220519,
JENKINS,0.368867576540022,0.147547030616008,35.8723718185171,0.811508668388048,7.43268166728144,0.350424197713021,55.0165990409443,
JOHNSON,0.259965337954939,0.277296360485268,28.5615251299826,0.433275563258232,4.28076256499133,0.207972270363951,65.9792027729636,
JONES,0.374977135540515,0.521309676239253,24.0945674044265,0.923724163160782,4.14761295042985,0.356685567953173,69.5811231022498,
LAMAR,0.673836101279607,0.367546964334331,21.7737544241764,1.30683365096651,7.79335692894092,0.360740539068881,67.7239313912333,
LANIER,0.804416403785488,0.630914826498422,20.2839116719242,2.88643533123028,6.49842271293375,0.504731861198738,68.391167192429,
LAURENS,0.417934210900406,0.707929377647627,33.7218889489096,1.15429448724874,6.18656355727404,0.460580558951468,57.350808859068,
LEE,0.435238171999677,1.69259289110985,20.8833722898363,1.43064399129523,7.96727653743854,0.415088256629322,67.1757878616909,
LIBERTY,1.1939951123007,2.03654137088327,41.7828465029675,7.24775980449202,13.1688583730943,0.670313045502152,33.8996857907599,
LINCOLN,0.407916603716573,0.347484514277081,24.5354283124339,0.574104849675177,7.23674271037921,0.332376491917208,66.5659465176008,
LONG,1.17099908645461,1.40353791213354,25.2719873764637,6.35329291587077,12.2082883481438,0.863715638236026,52.7281787226974,
LOWNDES,0.741362763915547,1.35076775431861,33.95273512476,3.04582533589251,7.10292706333973,0.602207293666026,53.2041746641074,
LUMPKIN,0.623993558776167,0.475040257648953,0.917874396135265,2.13365539452496,8.55475040257649,0.539452495974235,86.7552334943639,
MACON,0.216070222822417,1.13436866981769,57.0965563808237,1.53950033760972,4.9966239027684,0.607697501688048,34.4091829844699,
MADISON,0.52413190652981,1.20550338501856,8.59139550120113,2.50272985367984,8.16335444420179,0.46735094998908,78.5455339593797,
